Year,Sust_G_Rate,Int_G_Rate,EPS_Growth_1Yr,SPS_Growth_1Yr,EPS_CAGR_3Yr,EPS_CAGR_5Yr,SPS_CAGR_3Yr,SPS_CAGR_5Yr,CFOPS_CAGR_3Yr,CFOPS_CAGR_5Yr,Inv_Rate,Asset_G_Rate,Payout_CAGR_3Yr:,Payout_CAGR_5Yr:,P_E,P_S,P_B,P_CFO,EV_EBITDA,EV_CFO,ROE,ROE_3Yr,ROE_5Yr,EBITDA_MGN,EBITDA_MGN_3Yr,EBITDA_MGN_5Yr,CFO_MGN,CFO_MGN_3Yr,CFO_MGN_5Yr,DEBT_EQ,EPS_5Yr_Var,Payout_YLD,6M_Return,12M_Return,_actual_period_end,_offset_days
2016,0.101,0.036,64.82,3.516,-4.224,-2.919,4.33,5.823,11.506,6.368,10.252,7.086,24.019,24.817,27.336,5.785,7.475,14.025,18.241,16.152,25.843,21.031,22.932,36.529,33.029,34.341,41.252,36.971,37.313,125.748,51.82,5.522,14.623,24.708,2016-12-31,0
2017,0.021,0.007,-25.378,16.762,-10.521,-0.576,5.426,8.77,11.637,8.341,8.503,-3.434,5.351,13.75,52.749,7.134,9.311,17.381,18.162,19.326,18.793,19.507,22.167,43.677,35.499,36.407,41.047,39.131,37.149,120.604,52.717,3.179,28.862,44.908,2017-12-31,0
2018,0.239,0.079,142.905,16.016,44.025,9.752,11.929,8.996,15.882,12.133,12.007,8.008,1.044,15.614,24.23,6.862,8.823,17.621,16.606,19.331,39.347,27.994,24.247,45.327,41.844,37.618,38.938,40.412,38.18,92.787,111.158,3.69,-0.797,12.713,2018-12-31,0
2019,0.296,0.11,33.102,14.172,34.121,18.293,15.645,9.19,14.764,12.599,10.09,3.109,7.565,14.103,29.667,9.794,11.942,24.294,21.597,25.739,43.833,33.991,28.34,48.051,45.685,39.975,40.318,40.101,39.33,79.146,183.458,3.074,20.79,65.485,2019-12-31,0
2020,0.296,0.121,16.893,15.288,55.765,35.974,15.156,13.04,18.191,18.478,11.477,8.969,26.924,7.945,34.97,11.706,13.777,26.376,24.765,27.381,42.697,41.959,34.103,49.068,47.482,44.53,44.38,41.212,41.187,63.563,211.471,2.6,16.602,42.22,2020-12-31,0
2021,0.373,0.167,40.003,21.733,29.629,31.608,17.018,16.765,23.142,19.014,12.556,12.854,16.305,11.244,31.394,12.086,13.966,26.633,24.173,27.345,49.051,45.194,38.744,51.334,49.484,47.491,45.38,43.359,42.013,50.217,282.622,2.222,1.845,28.529,2021-12-31,0
2022,0.283,0.138,-4.289,11.487,16.135,38.325,16.093,15.691,17.075,15.859,12.136,10.975,11.896,18.305,27.079,8.949,9.973,21.645,19.124,22.383,39.312,43.687,42.848,48.393,49.598,48.435,41.347,43.702,42.073,42.583,215.619,2.256,-6.456,-17.822,2022-12-31,0
2023,0.294,0.148,22.938,12.023,18.103,20.712,14.987,14.883,15.608,18.31,15.468,13.907,-1.369,6.391,36.476,13.23,12.636,29.332,25.676,30.248,39.174,42.512,42.813,53.134,50.954,49.996,45.103,43.943,43.306,46.736,214.003,1.604,19.194,66.172,2023-12-31,0
2024,0.259,0.139,12.291,14.954,9.731,16.677,12.811,15.04,14.919,19.111,21.219,15.863,-4.996,3.257,34.16,12.102,10.467,25.229,22.769,25.91,34.291,37.592,40.905,54.585,52.037,51.303,47.969,44.806,44.836,33.998,216.422,1.242,-0.61,3.516,2024-12-31,0
2025,0.272,0.157,28.729,16.804,21.125,18.949,14.577,15.341,24.109,19.305,27.204,14.286,-0.146,2.446,28.059,10.956,8.562,20.85,18.003,21.466,34.391,35.952,39.244,62.656,56.792,54.02,52.547,48.54,46.469,31.539,282.007,1.4,-12.493,0.285,2025-12-31,0
